common name,scientific name,extinct,forefront recs,background recs,africa,americas,asia,australasia,europe
Large Lifou White-eye ,Zosterops inornatus ,False,1,0,False,False,False,False,False
Kosrae White-eye ,Zosterops cinereus ,False,6,0,False,False,False,False,False
Grey-brown White-eye ,Zosterops ponapensis ,False,1,0,False,False,False,False,False
Olive-colored White-eye ,Zosterops oleagineus ,False,2,0,False,False,False,False,False
Dusky White-eye ,Zosterops finschii ,False,9,0,False,False,False,False,False
Socotra White-eye ,Zosterops socotranus ,False,2,0,False,False,False,False,False
Principe White-eye ,Zosterops ficedulinus ,False,2,0,True,False,False,False,False
Annobon White-eye ,Zosterops griseovirescens ,False,3,0,True,False,False,False,False
Sao Tome White-eye ,Zosterops feae ,False,2,0,True,False,False,False,False
Black-capped Speirops ,Zosterops lugubris ,False,4,4,True,False,False,False,False
Principe Speirops ,Zosterops leucophaeus ,False,6,0,True,False,False,False,False
Mbulu White-eye ,Zosterops mbuluensis ,False,0,0,False,False,False,False,False
Abyssinian White-eye ,Zosterops abyssinicus ,False,13,27,True,False,True,False,False
Pale White-eye ,Zosterops flavilateralis ,False,12,1,False,False,False,False,False
Seychelles White-eye ,Zosterops modestus ,False,5,0,False,False,False,False,False
Aldabra White-eye ,Zosterops aldabrensis ,False,0,0,False,False,False,False,False
Kirk's White-eye ,Zosterops kirki ,False,6,1,False,False,False,False,False
Mayotte White-eye ,Zosterops mayottensis ,False,3,0,False,False,False,False,False
Malagasy White-eye ,Zosterops maderaspatanus ,False,21,8,True,False,False,False,False
Taita White-eye ,Zosterops silvanus ,False,7,0,True,False,False,False,False
South Pare White-eye ,Zosterops winifredae ,False,3,0,False,False,False,False,False
Orange River White-eye ,Zosterops pallidus ,False,25,30,True,False,False,False,False
Cape White-eye ,Zosterops virens ,False,63,93,True,False,False,False,False
Southern Yellow White-eye ,Zosterops anderssoni ,False,56,25,False,False,False,False,False
Mount Cameroon Speirops ,Zosterops melanocephalus ,False,1,0,True,False,False,False,False
Fernando Po Speirops ,Zosterops brunneus ,False,0,0,True,False,False,False,False
Forest White-eye ,Zosterops stenocricotus ,False,12,3,False,False,False,False,False
Heuglin's White-eye ,Zosterops poliogastrus ,False,8,8,True,False,False,False,False
Kikuyu White-eye ,Zosterops kikuyuensis ,False,9,1,True,False,False,False,False
Broad-ringed White-eye ,Zosterops eurycricotus ,False,7,0,False,False,False,False,False
Northern Yellow White-eye ,Zosterops senegalensis ,False,32,27,True,False,False,False,False
Green White-eye ,Zosterops stuhlmanni ,False,12,7,False,False,False,False,False
Pemba White-eye ,Zosterops vaughani ,False,5,0,True,False,False,False,False
Spot-throat ,Modulatrix stictigula ,False,256,71,True,False,False,False,False
Dapple-throat ,Arcanator orostruthus ,False,52,18,True,False,False,False,False
Grey-chested Babbler ,Kakamega poliothorax ,False,11,2,True,False,False,False,False
Cape Sugarbird ,Promerops cafer ,False,32,1,True,False,False,False,False
Gurney's Sugarbird ,Promerops gurneyi ,False,17,0,True,False,False,False,False
Asian Fairy-bluebird ,Irena puella ,False,136,38,False,False,True,False,False
Philippine Fairy-bluebird ,Irena cyanogastra ,False,11,0,False,False,True,False,False
Common Firecrest ,Regulus ignicapilla ,False,650,903,True,False,True,False,True
Flamecrest ,Regulus goodfellowi ,False,14,34,False,False,True,False,False
Goldcrest ,Regulus regulus ,False,1059,958,True,False,True,False,True
Madeira Firecrest ,Regulus madeirensis ,False,45,47,False,False,False,False,False
Golden-crowned Kinglet ,Regulus satrapa ,False,203,208,False,True,False,False,False
Ruby-crowned Kinglet ,Regulus calendula ,False,346,583,False,True,True,False,False
Spotted Elachura ,Elachura formosa ,False,71,1,False,False,True,False,False
Yellow-bellied Hyliota ,Hyliota flavigaster ,False,7,1,True,False,False,False,False
Southern Hyliota ,Hyliota australis ,False,7,0,True,False,False,False,False
Usambara Hyliota ,Hyliota usambara ,False,1,0,True,False,False,False,False
Violet-backed Hyliota ,Hyliota violacea ,False,0,0,True,False,False,False,False
White-headed Wren ,Campylorhynchus albobrunneus ,False,24,0,False,True,False,False,False
Band-backed Wren ,Campylorhynchus zonatus ,False,106,42,False,True,False,False,False
Grey-barred Wren ,Campylorhynchus megalopterus ,False,30,13,False,True,False,False,False
Stripe-backed Wren ,Campylorhynchus nuchalis ,False,22,3,False,True,False,False,False
Fasciated Wren ,Campylorhynchus fasciatus ,False,75,42,False,True,False,False,False
Giant Wren ,Campylorhynchus chiapensis ,False,35,9,False,True,False,False,False
Bicolored Wren ,Campylorhynchus griseus ,False,98,47,False,True,False,False,False
Rufous-naped Wren ,Campylorhynchus rufinucha ,False,8,11,False,True,False,False,False
Sclater's Wren ,Campylorhynchus humilis ,False,17,2,False,False,False,False,False
Rufous-backed Wren ,Campylorhynchus capistratus ,False,78,69,False,False,False,False,False
Spotted Wren ,Campylorhynchus gularis ,False,48,27,False,True,False,False,False
Boucard's Wren ,Campylorhynchus jocosus ,False,19,3,False,True,False,False,False
Yucatan Wren ,Campylorhynchus yucatanicus ,False,10,0,False,True,False,False,False
Cactus Wren ,Campylorhynchus brunneicapillus ,False,183,573,False,True,False,False,False
Thrush-like Wren ,Campylorhynchus turdinus ,False,160,479,False,True,False,False,False
Grey-mantled Wren ,Odontorchilus branickii ,False,32,5,False,True,False,False,False
Tooth-billed Wren ,Odontorchilus cinereus ,False,44,11,False,True,False,False,False
Rock Wren ,Salpinctes obsoletus ,False,117,53,False,True,False,False,False
Canyon Wren ,Catherpes mexicanus ,False,211,236,False,True,False,False,False
Sumichrast's Wren ,Hylorchilus sumichrasti ,False,36,0,False,True,False,False,False
Nava's Wren ,Hylorchilus navai ,False,25,5,False,True,False,False,False
Rufous Wren ,Cinnycerthia unirufa ,False,130,7,False,True,False,False,False
Sepia-brown Wren ,Cinnycerthia olivascens ,False,138,15,False,True,False,False,False
Peruvian Wren ,Cinnycerthia peruana ,False,28,2,False,False,False,False,False
Fulvous Wren ,Cinnycerthia fulva ,False,12,0,False,True,False,False,False
Sedge Wren ,Cistothorus stellaris ,False,138,81,False,False,False,False,False
Merida Wren ,Cistothorus meridae ,False,7,0,False,True,False,False,False
Apolinar's Wren ,Cistothorus apolinari ,False,122,3,False,True,False,False,False
Grass Wren ,Cistothorus platensis ,False,293,35,False,True,False,False,False
Marsh Wren ,Cistothorus palustris ,False,394,369,False,True,False,False,False
Bewick's Wren ,Thryomanes bewickii ,False,621,717,False,True,False,False,False
Zapata Wren ,Ferminia cerverai ,False,23,0,False,False,False,False,False
Black-throated Wren ,Pheugopedius atrogularis ,False,29,6,False,True,False,False,False
Sooty-headed Wren ,Pheugopedius spadix ,False,85,9,False,True,False,False,False
