Common name 	Scientific name 	Status 	No. 	No. Back
Red Phalarope 	Phalaropus fulicarius 		51 	19
Common Sandpiper 	Actitis hypoleucos 		631 	150
Green Sandpiper 	Tringa ochropus 		393 	161
Wandering Tattler 	Tringa incana 		16 	1
Grey-tailed Tattler 	Tringa brevipes 		29 	1
Lesser Yellowlegs 	Tringa flavipes 		192 	49
Common Redshank 	Tringa totanus 		640 	851
Marsh Sandpiper 	Tringa stagnatilis 		81 	11
Wood Sandpiper 	Tringa glareola 		389 	190
Spotted Redshank 	Tringa erythropus 		144 	33
Common Greenshank 	Tringa nebularia 		378 	151
Australian Pratincole 	Stiltia isabella 		4 	0
Oriental Pratincole 	Glareola maldivarum 		23 	4
Brown Noddy 	Anous stolidus 		23 	9
Lesser Noddy 	Anous tenuirostris 		8 	3
Black Noddy 	Anous minutus 		23 	37
Grey Noddy 	Anous albivitta 		0 	0
White Tern 	Gygis alba 		41 	80
Sabine's Gull 	Xema sabini 		13 	0
Silver Gull 	Chroicocephalus novaehollandiae 		29 	25
Black-billed Gull 	Chroicocephalus bulleri 		10 	3
Black-headed Gull 	Chroicocephalus ridibundus 		691 	1424
Laughing Gull 	Leucophaeus atricilla 		83 	92
Franklin's Gull 	Leucophaeus pipixcan 		57 	49
Pacific Gull 	Larus pacificus 		4 	2
Black-tailed Gull 	Larus crassirostris 		30 	14
Kelp Gull 	Larus dominicanus 		66 	32
Gull-billed Tern 	Gelochelidon nilotica 		146 	54
Caspian Tern 	Hydroprogne caspia 		162 	56
Greater Crested Tern 	Thalasseus bergii 		28 	6
Lesser Crested Tern 	Thalasseus bengalensis 		12 	2
Little Tern 	Sternula albifrons 		225 	59
Saunders's Tern 	Sternula saundersi 		17 	5
Fairy Tern 	Sternula nereis 		3 	0
Aleutian Tern 	Onychoprion aleuticus 		17 	2
Spectacled Tern 	Onychoprion lunatus 		0 	0
Bridled Tern 	Onychoprion anaethetus 		16 	0
Sooty Tern 	Onychoprion fuscatus 		17 	13
Roseate Tern 	Sterna dougallii 		79 	21
White-fronted Tern 	Sterna striata 		12 	6
Black-naped Tern 	Sterna sumatrana 		13 	0
Common Tern 	Sterna hirundo 		355 	221
Arctic Tern 	Sterna paradisaea 		159 	88
Antarctic Tern 	Sterna vittata 		15 	2
Black-fronted Tern 	Chlidonias albostriatus 		6 	0
Whiskered Tern 	Chlidonias hybrida 		144 	119
White-winged Tern 	Chlidonias leucopterus 		79 	45
Black Tern 	Chlidonias niger 		159 	100
South Polar Skua 	Stercorarius maccormicki 		11 	0
Brown Skua 	Stercorarius antarcticus 		15 	1
Great Skua 	Stercorarius skua 		48 	1
Pomarine Jaeger 	Stercorarius pomarinus 		7 	2
Parasitic Jaeger 	Stercorarius parasiticus 		68 	4
Long-tailed Jaeger 	Stercorarius longicaudus 		50 	5
Metallic Pigeon 	Columba vitiensis 		15 	1
White-headed Pigeon 	Columba leucomela 		11 	6
Yellow-legged Pigeon 	Columba pallidiceps 		1 	0
African Collared Dove 	Streptopelia roseogrisea 		21 	16
Red Turtle Dove 	Streptopelia tranquebarica 		15 	7
Spotted Dove 	Spilopelia chinensis 		150 	290
Laughing Dove 	Spilopelia senegalensis 		125 	265
Amboyna Cuckoo-Dove 	Macropygia amboinensis 		49 	7
Timor Cuckoo-Dove 	Macropygia magna 		20 	8
Brown Cuckoo-Dove 	Macropygia phasianella 		33 	88
Bar-tailed Cuckoo-Dove 	Macropygia nigrirostris 		10 	7
MacKinlay's Cuckoo-Dove 	Macropygia mackinlayi 		13 	1
Great Cuckoo-Dove 	Reinwardtoena reinwardti 		19 	0
Pied Cuckoo-Dove 	Reinwardtoena browni 		4 	0
Crested Cuckoo-Dove 	Reinwardtoena crassirostris 		6 	4
White-faced Cuckoo-Dove 	Turacoena manadensis 		6 	7
Common Emerald Dove 	Chalcophaps indica 		62 	25
Stephan's Emerald Dove 	Chalcophaps stephani 		15 	5
New Guinea Bronzewing 	Henicophaps albifrons 		3 	0
New Britain Bronzewing 	Henicophaps foersteri 		0 	0
Common Bronzewing 	Phaps chalcoptera 		9 	18
Brush Bronzewing 	Phaps elegans 		6 	4
Flock Bronzewing 	Phaps histrionica 		0 	0
Crested Pigeon 	Ocyphaps lophotes 		13 	8
Spinifex Pigeon 	Geophaps plumifera 		2 	0
Squatter Pigeon 	Geophaps scripta 		5 	0
Partridge Pigeon 	Geophaps smithii 		2 	0
Thick-billed Ground Pigeon 	Trugon terrestris 		2 	0
Wonga Pigeon 	Leucosarcia melanoleuca 		9 	33
Chestnut-quilled Rock Pigeon 	Petrophassa rufipennis 		0 	0
White-quilled Rock Pigeon 	Petrophassa albipennis 		0 	0
Diamond Dove 	Geopelia cuneata 		5 	5
Zebra Dove 	Geopelia striata 		102 	169
Peaceful Dove 	Geopelia placida 		25 	161
Barred Dove 	Geopelia maugeus 		12 	45
Bar-shouldered Dove 	Geopelia humeralis 		34 	182
Nicobar Pigeon 	Caloenas nicobarica 		2 	1
