Common name 	Scientific name 	Status 	No. 	No. Back
Least Grebe 	Tachybaptus dominicus 		76 	8
Pied-billed Grebe 	Podilymbus podiceps 		157 	75
White-tufted Grebe 	Rollandia rolland 		9 	1
Titicaca Grebe 	Rollandia microptera 		4 	0
Great Grebe 	Podiceps major 		29 	5
Red-necked Grebe 	Podiceps grisegena 		91 	52
Horned Grebe 	Podiceps auritus 		82 	3
Black-necked Grebe 	Podiceps nigricollis 		60 	22
Silvery Grebe 	Podiceps occipitalis 		36 	5
Junin Grebe 	Podiceps taczanowskii 		12 	0
Hooded Grebe 	Podiceps gallardoi 		38 	14
Western Grebe 	Aechmophorus occidentalis 		65 	22
Clark's Grebe 	Aechmophorus clarkii 		25 	18
American Flamingo 	Phoenicopterus ruber 		12 	3
Chilean Flamingo 	Phoenicopterus chilensis 		18 	4
Lesser Flamingo 	Phoeniconaias minor 		19 	1
Andean Flamingo 	Phoenicoparrus andinus 		18 	1
James's Flamingo 	Phoenicoparrus jamesi 		10 	4
Red-billed Tropicbird 	Phaethon aethereus 		20 	5
Red-tailed Tropicbird 	Phaethon rubricauda 		31 	35
White-tailed Tropicbird 	Phaethon lepturus 		21 	0
Wood Stork 	Mycteria americana 		17 	7
Maguari Stork 	Ciconia maguari 		3 	0
Jabiru 	Jabiru mycteria 		16 	2
Plumbeous Ibis 	Theristicus caerulescens 		48 	37
Buff-necked Ibis 	Theristicus caudatus 		100 	55
Black-faced Ibis 	Theristicus melanopis 		39 	5
Sharp-tailed Ibis 	Cercibis oxycerca 		18 	3
Green Ibis 	Mesembrinibis cayennensis 		89 	48
Bare-faced Ibis 	Phimosus infuscatus 		17 	1
American White Ibis 	Eudocimus albus 		39 	9
Scarlet Ibis 	Eudocimus ruber 		6 	2
Glossy Ibis 	Plegadis falcinellus 		67 	29
White-faced Ibis 	Plegadis chihi 		56 	9
Puna Ibis 	Plegadis ridgwayi 		17 	3
Eurasian Spoonbill 	Platalea leucorodia 		18 	33
Roseate Spoonbill 	Platalea ajaja 		25 	8
Rufescent Tiger Heron 	Tigrisoma lineatum 		63 	17
Fasciated Tiger Heron 	Tigrisoma fasciatum 		4 	0
Bare-throated Tiger Heron 	Tigrisoma mexicanum 		24 	3
Agami Heron 	Agamia agami 		11 	1
Boat-billed Heron 	Cochlearius cochlearius 		33 	9
Zigzag Heron 	Zebrilus undulatus 		57 	17
American Bittern 	Botaurus lentiginosus 		76 	45
Pinnated Bittern 	Botaurus pinnatus 		20 	0
Stripe-backed Bittern 	Ixobrychus involucris 		20 	0
Least Bittern 	Ixobrychus exilis 		120 	22
Little Bittern 	Ixobrychus minutus 		253 	33
Yellow Bittern 	Ixobrychus sinensis 		13 	0
Black-crowned Night Heron 	Nycticorax nycticorax 		431 	90
Yellow-crowned Night Heron 	Nyctanassa violacea 		48 	2
Green Heron 	Butorides virescens 		89 	40
Striated Heron 	Butorides striata 		125 	20
Chinese Pond Heron 	Ardeola bacchus 		19 	0
Western Cattle Egret 	Bubulcus ibis 		174 	93
Grey Heron 	Ardea cinerea 		594 	395
Great Blue Heron 	Ardea herodias 		98 	45
Cocoi Heron 	Ardea cocoi 		50 	12
Great-billed Heron 	Ardea sumatrana 		10 	0
Purple Heron 	Ardea purpurea 		106 	37
Great Egret 	Ardea alba 		240 	69
Capped Heron 	Pilherodius pileatus 		6 	0
Whistling Heron 	Syrigma sibilatrix 		56 	6
Reddish Egret 	Egretta rufescens 		10 	0
Tricolored Heron 	Egretta tricolor 		42 	10
Little Blue Heron 	Egretta caerulea 		48 	5
Snowy Egret 	Egretta thula 		68 	20
Little Egret 	Egretta garzetta 		247 	91
Western Reef Heron 	Egretta gularis 		16 	10
Chinese Egret 	Egretta eulophotes 		0 	0
American White Pelican 	Pelecanus erythrorhynchos 		6 	1
Brown Pelican 	Pelecanus occidentalis 		10 	3
Peruvian Pelican 	Pelecanus thagus 		1 	0
Magnificent Frigatebird 	Fregata magnificens 		11 	1
Great Frigatebird 	Fregata minor 		25 	2
Lesser Frigatebird 	Fregata ariel 		0 	0
Northern Gannet 	Morus bassanus 		68 	63
Cape Gannet 	Morus capensis 		11 	1
Australasian Gannet 	Morus serrator 		4 	0
Blue-footed Booby 	Sula nebouxii 		8 	1
Peruvian Booby 	Sula variegata 		0 	0
Masked Booby 	Sula dactylatra 		29 	0
Nazca Booby 	Sula granti 		8 	6
Red-footed Booby 	Sula sula 		43 	9
Brown Booby 	Sula leucogaster 		15 	1
Red-legged Cormorant 	Phalacrocorax gaimardi 		5 	0
Brandt's Cormorant 	Phalacrocorax penicillatus 		7 	1
Pelagic Cormorant 	Phalacrocorax pelagicus 		6 	0
Red-faced Cormorant 	Phalacrocorax urile 		4 	0
Neotropic Cormorant 	Phalacrocorax brasilianus 		98 	74
Double-crested Cormorant 	Phalacrocorax auritus 		39 	21
Great Cormorant 	Phalacrocorax carbo 		111 	121
Rock Shag 	Phalacrocorax magellanicus 		5 	2
Guanay Cormorant 	Leucocarbo bougainvillii 		0 	0
Imperial Shag 	Leucocarbo atriceps 		6 	0
Anhinga 	Anhinga anhinga 		49 	24
Turkey Vulture 	Cathartes aura 		7 	3
Lesser Yellow-headed Vulture 	Cathartes burrovianus 		0 	0
Greater Yellow-headed Vulture 	Cathartes melambrotus 		1 	0
Black Vulture 	Coragyps atratus 		55 	6
King Vulture 	Sarcoramphus papa 		2 	0
California Condor 	Gymnogyps californianus 		0 	0
Andean Condor 	Vultur gryphus 		4 	0
Western Osprey 	Pandion haliaetus 		215 	58
White-tailed Kite 	Elanus leucurus 		37 	6
Pearl Kite 	Gampsonyx swainsonii 		23 	1
Grey-headed Kite 	Leptodon cayanensis 		82 	6
Hook-billed Kite 	Chondrohierax uncinatus 		22 	1
